RUN	pokemonapi.PokemonTestApi	pokemontestapi	1720996390955	 	3.11.5
REQUEST		Get butterfree	1720996398692	1720996398741	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996398744
USER	Prokemon API Test	START	1720996398744
REQUEST		Get onix	1720996398744	1720996398785	OK	 
USER	Prokemon API Test	END	1720996398788
USER	Prokemon API Test	START	1720996398788
REQUEST		Get ditto	1720996398789	1720996398815	OK	 
USER	Prokemon API Test	END	1720996398817
USER	Prokemon API Test	START	1720996398817
REQUEST		Get pikachu	1720996398817	1720996398865	OK	 
USER	Prokemon API Test	END	1720996398869
USER	Prokemon API Test	START	1720996398869
REQUEST		Get charmander	1720996398869	1720996398914	OK	 
USER	Prokemon API Test	END	1720996398916
USER	Prokemon API Test	START	1720996398917
REQUEST		Get psyduck	1720996398917	1720996398964	OK	 
USER	Prokemon API Test	END	1720996398968
USER	Prokemon API Test	START	1720996398968
REQUEST		Get butterfree	1720996398968	1720996399010	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996399012
USER	Prokemon API Test	START	1720996399013
REQUEST		Get onix	1720996399013	1720996399060	OK	 
USER	Prokemon API Test	END	1720996399063
USER	Prokemon API Test	START	1720996399063
REQUEST		Get ditto	1720996399064	1720996399094	OK	 
USER	Prokemon API Test	END	1720996399095
USER	Prokemon API Test	START	1720996399095
REQUEST		Get pikachu	1720996399095	1720996399144	OK	 
USER	Prokemon API Test	END	1720996399147
USER	Prokemon API Test	START	1720996399147
REQUEST		Get charmander	1720996399147	1720996399192	OK	 
USER	Prokemon API Test	END	1720996399194
USER	Prokemon API Test	START	1720996399195
REQUEST		Get psyduck	1720996399195	1720996399244	OK	 
USER	Prokemon API Test	END	1720996399247
USER	Prokemon API Test	START	1720996399247
REQUEST		Get butterfree	1720996399248	1720996399296	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996399298
USER	Prokemon API Test	START	1720996399299
REQUEST		Get onix	1720996399299	1720996399353	OK	 
USER	Prokemon API Test	END	1720996399355
USER	Prokemon API Test	START	1720996399356
REQUEST		Get ditto	1720996399356	1720996399385	OK	 
USER	Prokemon API Test	END	1720996399386
USER	Prokemon API Test	START	1720996399386
REQUEST		Get pikachu	1720996399386	1720996399429	OK	 
USER	Prokemon API Test	END	1720996399431
USER	Prokemon API Test	START	1720996399432
REQUEST		Get charmander	1720996399432	1720996399482	OK	 
USER	Prokemon API Test	END	1720996399485
USER	Prokemon API Test	START	1720996399485
REQUEST		Get psyduck	1720996399485	1720996399534	OK	 
USER	Prokemon API Test	END	1720996399538
